,Country,badteeth,literacy_avg,water_avg,GDP_avg,sugar_avg,health_avg
69,Nicaragua,1.5,76.677126363222,81.0,1306.878111569809,109.15409090909088,29.813333674444443
70,Niger,1.3,9.391331151894528,38.8,243.82952371843368,11.645,3.003763623333333
71,Nigeria,0.46,55.10996672986785,49.2,346.0749248798128,16.75136363636363,8.628377735555555
72,Pakistan,1.38,34.21225133151705,89.0,361.5040035348594,78.51613636363635,3.4854636966666668
73,Panama,3.6,89.58373681741539,89.2,3027.5496157613034,89.72500000000001,187.98045151444444
74,Paraguay,3.8,84.36521885827545,78.6,1128.890307321781,59.77409090909091,41.49236224444444
75,Peru,2.9,84.53454840685464,82.0,2024.9776248367311,90.34772727272727,56.75101207555555
76,Philippines,2.9,90.52047044653767,86.6,932.2622417312443,63.199999999999996,14.635741774444446
77,Portugal,1.5,83.69172915305626,99.0,6717.731162605442,74.71840909090912,698.7623859700001
78,Romania,2.8,97.0037839849748,100.0,1844.6013762900095,63.88386363636362,62.692177156666666
79,Rwanda,0.3,53.661836034889866,48.4,222.4911037527661,2.677727272727273,4.98694885888889
80,Samoa,2.5,97.94432989690719,93.0,1244.2061463224325,65.1275,58.05512772555556
81,Saudi Arabia,5.9,75.0862970366441,97.0,10724.992842495554,63.51159090909089,212.08183434333333
82,Senegal,1.2,33.072049955787804,63.4,518.3962111647924,43.96431818181817,9.040571043333333
83,Seychelles,1.5,87.95894313479657,93.8,4276.160640027142,90.65909090909088,334.6324880155556
84,Sierra Leone,1.3,,40.6,248.6070471053767,15.941818181818194,3.4492638022222226
85,Slovenia,1.8,99.52451666882351,100.0,8750.686716550386,48.05384615384616,670.5587185433334
86,South Africa,1.05,79.30129650969295,78.2,3039.352970036396,103.48727272727272,103.05581475222223
87,Spain,1.12,94.65236779013262,100.0,9153.075811976301,78.45409090909094,847.9521622422222
88,Sri Lanka,1.4,88.7303383030449,79.0,492.6532181653781,57.65954545454542,14.120333320000002
89,Sudan,1.4,61.34587311225079,43.0,286.5789756486046,46.204772727272704,3.373729244444444
90,Suriname,1.9,,89.8,2181.048999977464,102.74,72.16473687888889
91,Swaziland,0.9,68.0750400823153,54.0,1043.3479437456551,115.06999999999998,45.91749863888889
92,Tajikistan,1.2,98.5726355825199,59.6,270.1217781817179,37.72769230769232,1.9304019633333336
93,Thailand,1.6,90.31415232705355,94.8,1012.4055053888948,44.27295454545457,44.06157458777778
94,Togo,0.3,53.1775994966179,47.8,277.8094939888596,12.39227272727273,4.767701864444445
95,Trinidad and Tobago,0.6,95.95443585303215,92.8,5250.318082117402,136.11613636363637,117.20048353444443
96,Tunisia,1.3,53.7117559805412,88.8,1439.7464375598634,70.11068181818182,66.74262683888888
97,Turkey,2.7,70.63067912322805,95.8,2823.5745511165596,65.5656818181818,111.79965786777777
98,Turkmenistan,2.6,98.7783167649831,85.4,700.6042438920796,34.56538461538461,32.77540740555556
99,Uganda,0.9,62.1249460746978,31.2,209.1306120695816,18.18363636363637,4.733080245555556
100,Ukraine,4.4,99.430410411751,96.0,937.3590702529859,114.43769230769229,29.229191540000002
101,United Arab Emirates,1.6,62.3750880871985,100.0,41446.93360155292,102.55318181818176,586.4366920422221
102,Uruguay,2.5,95.34095301035472,97.0,5120.7236379043015,94.02181818181815,333.1449069333333
103,Uzbekistan,1.4,98.6425834701697,87.0,582.8194325015476,30.772307692307688,15.610299758888893
104,Vanuatu,1.2,65.10700416156696,82.0,1314.367095523969,36.74068181818181,37.64712455777777
105,Zambia,2.3,67.38309118331303,50.2,462.3771373962968,36.429545454545455,13.064691882222222
106,Zimbabwe,1.3,80.65337304468125,70.2,494.133681526467,57.97090909090909,27.343722004285713
